Titel|Autoren|Schriftenreihe|Kategorien|Publikationsdatum|Verlag|Seiten|ISBN
Monty Python 'Der Sinn des Lebens'|Monty Python|||1995|Heyne|121|9783453088559
Monty Python's Flying Circus|Python, Graham Chapman||Black humor|1990|Vintage|696|9780749302269
Monumentalbild Frankenhausen|Werner Tübke, Karl-Max Kober|||1989|Verlag der Kunst Dresden|104|3364001715
Moose, Farne und Flechten: Häufige und auffällige Arten erkennen und bestimmen|Bernhard Marbach, Christian Kainz|||2002|BLV Buchverlag|96|9783405163235
Morgenwelt|John Brunner|||2000|Heyne|857|9783453161825
Morgoth's Ring|J. R. R. Tolkien, Christopher Tolkien|The History of Middle-Earth (Band 10)|Fiction|2002|Harpercollins Pub Limited|471|9780261103009
Moskau, 11. März 1985: Die Auflösung des sowjetischen Imperiums (dtv Fortsetzungsnummer 40, Band 30616)|Mária Huber|||2002|Deutscher Taschenbuch Verlag|320|9783423306164
Muldenland|A. Peter Bräuer, Gerhard Weber|||1988|VEB F.A.Brockhaus Verlag, Leipzig|160|3325001335
Musik 11/12|AK|||1986|Volk und Wissen, Berlin|271|
Mutanten auf Andromeda|Klaus Frühauf|Kompaß-Bücherei (Band 179)||1974|Neues Leben, Berlin|304|
Mute. Die Geschichte eines Labels|Terry Burrows, Daniel Miller|||06/11/2017|Blumenbar|310|9783351050443
My System: A Chess Manual on Totally New Principles (Chess Classics)|Aron Nimzowitsch|||2011|Quality Chess|320|9789197600538
Nachrichten aus Mittelerde|Christopher Tolkien, John Ronald R. Tolkien|||1995|Klett-cotta, Stgt.|603|9783608911497
Natur und Wesen von Mittelerde: Späte Schriften zu den Ländern, Völkern und Geschöpfen und zur Metaphysik von Mittelerde|Carl F. Hostetter, J.R.R. Tolkien, Susanne Held, Helmut W. Pesch||||Klett-Cotta Verlag|720|9783608964783
Naturwissenschaft und Technik in der DDR|Dieter Hoffmann, Kristie Macrakis|||1997|Akademie Verlag GmbH|407|9783050029559
Nerd Attack!|Christian Stöcker||Computers|2011|Deutsche Verlags-Anstalt|319|9783421045096
Nero|Dezso Kosztolányi|||1990|Corvina Budapest|248|9631330893
Neue DDR-Dramatik|Jürgen Gross, Albert Wendt, Jörg-Michael Koerbl, Georg Seidel|dialog||1981|Henschelverlag Kunst und Gesellschaft Berlin|146|
Neue Vahr Süd: Roman|Sven Regener|||18/08/2004|Eichborn|550|9783821807430
Neuland unterm Pflug. Erstes Buch|Michail Scholochow|Reclams Universal Bibliothek (Band 412)||1977|Verlag Philipp Reclam jun. Leipzig|387|
Neuland unterm Pflug. Zweites Buch|Michail Scholochow|Reclams Universal Bibliothek (Band 464)||1977|Verlag Philipp Reclam jun. Leipzig|431|
Neunzehnhundertvierundachtzig|George Orwell||German fiction|1995|Ullstein Taschenbuch|280|9783548225623
Neuromancer|William Gibson||Cyberpunk fiction|1992|Heyne|365|9783453056657
Nieten in Nadelstreifen|Günter Ogger||Executives|1995|Knaur|276|9783426771365
Nimmerklug im Knirpsenland|Nikolaj N. Nossow|||1993|leiv Leipziger Kinderbuch|162|3928885375
Nimmerklug in Sonnenstadt|Nikolai Nossow|||1995||184|9783928885652
Nineteen Eighty-Four|George Orwell|||1993|Compact Books||7131743645081
No Logo: No Space No Choice No Jobs|Naomi Klein|||01/03/2002|Picador USA|502|9780312421434
No way - Bike-trial-Tricks|Hansjörg Rey, Thomas Rögner|||1993|Delius Klasing|117|9783768807920
Notlandung auf der Venus|Konstantin Wolkow|||1959|Verlag Kultur und Fortschritt, Berlin|365|
NVA: Roman (KiWi)|Leander Haußmann||Militaria|19/08/2005|Kiepenheuer & Witsch|240|9783462036244
Odyssee 2010|Arthur C. Clarke|||1986|Heyne|302|9783453022843
Ohne einen Pfennig. Als Frau zu Fuss auf deutschen Strassen|Heike Böning|||1986|Fackelträger-Verlag GmbH Hannover|136|3771614600
Okay Mutter, ich mache die Aschenbechergymnastik in der Mittagsmaschine|Max Goldt||Satire, German|2001|Zweitausendeins|859|3861503808
Old Man's War|John Scalzi||Fiction|15/01/2007|Tom Doherty Associates|320|9780765348272
OLYMPOS|Dan Simmons|||2006|Heyne Verlag|956|9783453521230
OP-Center - Ausnahmezustand: Roman|Tom Clancy, Steve Pieczenik|||10/12/2005|Heyne|320|9783453721036
Operating Systems: Internals and Design Principles: International Edition|William Stallings||Informatik|2009|Pearson|840|9780136033370
Operating Systems: Internals and Design Principles: United States Edition|William Stallings||Informatik|2001|Prentice Hall International|779|9780130319999
Otto Hahn: Ein Forscherleben unserer Zeit|Walther Gerlach, Dietrich Hahn|Große Naturforscher (Band 45)||1984|Wissenschaftliche Verlagsgesellschaft mbH, Stuttgart|267|
Pablo Picasso|Ingo F. Walther|||01/1999|Taschen Verlag|96|9783822863718
Paddel-Handbuch|Otto von Stritzky, Marja de Pree|||1995|BLV Verlagsgesellschaft mbH|253|3405148413
Patience|Vojtech Omasta|||1985|Verlag Slovart|205|
Peanuts - F.A.Z. Comic-Klassiker, Band 2|Charles M. Schulz|||2005|Frankfurter Allgemeine Zeitung|254|9783899810837
Peenemünde|Johannes Erichsen, Bernhard M. Hoppe||Militaria|2004|Nicolaische Verlagsbuchhandlung GmbH, Berlin|390|
Peenemünde: Die Geschichte der V-Waffen|Walter Dornberger||Militaria|01/12/1989|Ullstein|352|9783548331195
Per Anhalter durch die Galaxis|Douglas Adams||Humorous stories, English|1991|Ullstein Taschenbuch Verlag|192|9783548224916
Performance Analysis and Tuning on Modern CPUs: Squeeze the last bit of performance from your application.|Mark E Dawson||Informatik|2020|easyperf.net|237|9798575614234
Perl for System Administration|David N. Blank-Edelman||Computers|2000|"""O'Reilly Media, Inc."""|430|9781565926097
Perlen der Theoretischen Informatik|Uwe Schöning||Informatik|1995|BI-Wissenschaftsverlag Mannheim|332|9783411173310
Pflegeleichter Garten|Wolfgang Hensel||Gardening|01/09/2010|GRÄFE UND UNZER|168|9783833821929
Pharao|Boleslaw Prus|||1967|Aufbau-Verlag Berlin und Weimar|687|
Photographie des 20. Jahrhunderts|Museum Ludwig||Photograph collections|1996|Benedikt Taschen Verlag|760|9783822888186
Photographie des 20. Jahrhunderts, Museum Ludwig Köln|Reinhold Mißelbeck, Marianne Bieger-Thielemann|||2001|Taschen|191|9783822855133
Physik mit Bleistift|Hermann Schulz||Physik|2004|Verlag Harri Deutsch|388|9783817117253
Picknick am Wegesrand|Arkadi und Boris Strugatzki|||1983|Das neue Berlin|219|
Playing Cards: General History from Their Creation to the Present Day|Felix Alfaro Fournier|||1982|Heraclio Fournier S.A. - Vitoria|344|8485074114
Plutonien|W.A. Obrutschew|||1961|Neues Leben, Berlin|331|
Politische Kolportagen|Hans Magnus Enzensberger|Bücher des Wissens (Band 763)||1966|Fischer Bücherei KG|223|
Politische Ökonomie des Kapitalismus und des  Sozialismus|AK|||1980|Dietz Verlag Berlin|798|
Politische Ökonomie geschrieben für die Jugend|Otto Reinhold, Karl-Heinz Stiemerling|||1986|Dietz Verlag Berlin|383|3320008862
Popularmusiklehre Pop, Rock, Jazz - Harmonielehre, Komposition, Arrangement - Mit Aufgaben und Loesungen|Markus Lonardoni|||1996|Reclam|352|3150096049
Porträts. Frauen Kinder. 1989 und 2005|Angela Fensch||Fotokunst|2005|Nicolai Publishing & Intelligence GmbH|96|9783894792510
Practical Reverse Engineering|Bruce Dang, Alexandre Gazet, Elias Bachaalany||Computers|17/02/2014|John Wiley & Sons|384|9781118787311
Praxis Der Astronomie: Ein Leitfaden für Astrofotografen|Agnes Acker||Astronomie|1991|Birkhauser Basel|221|3764324732
Praxis der digitalen Makro- und Naturfotografie|Georg Glaeser||Science|15/01/2008|Spektrum Akademischer Verlag|280|9783827419064
Prentice-Hall software series: Elements of the theory of computation|Harry R. Lewis, Christos H. Papadimitriou||Informatik|1981|Pearson|466|9780132734172
Probleme des Perspektivplans bis 1970|Walter Ulbricht|||1966|Dietz Verlag Berlin|135|
Procurator. Die Germanicus-Trilogie 1|Kirk Mitchell|||11/1994|Bastei Lübbe|288|9783404230853
Programm der Sozialistischen Einheitspartei Deutschlands|AK|||1963|Dietz Verlag Berlin|165|
Programmieren in C. ANSI C (2. A.). Mit dem C- Reference Manual|Brian W. Kernighan, Dennis M. Ritchie||Informatik|1990|Hanser Fachbuch|279|3446154973
Programming with POSIX Threads|David R. Butenhof||Computers|1997|Addison-Wesley Professional|381|9780201633924
Prora - Das erste KdF-Bad Deutschlands. Prora auf Rügen - Das unvollendete Projekt des 1. KdF-Seebades in Deutschland|Bernfried Lichtnau||Militaria|2006|Verlag Axel Dietrich|0|3930066335
Psychologie für jedermann.|Pierre Daco|||07/2002|MVG|391|9783478084666
Purpurmäntel und Bauernkittel|Abraham a Sancta Clara|||1969|Rütten & Loening|404|
QQ|Max Goldt|||16/03/2007|Rowohlt Berlin|160|9783871345814
Quarantäne im Kosmos|Peter Lorenz|Kompaß-Bücherei (Band 346)||1981|Neues Leben, Berlin|211|3355000787
Racing the Enemy|Tsuyoshi Hasegawa||History|2005|Belknap Press|382|9780674016934
Rainer Werner Fassbinder|Michael Töteberg|||01/06/2002|Rowohlt Taschenbuch|160|9783499504587
Raketenspuren. Peenemünde 1936-2000. Eine historische Reportage|Volkhard Bode, Gerhard Kaiser||Militaria|2002|Ch. Links Verlag|211|9783861532392
Raumschiff ahoi!|Marianne (Hrsg.) Bretschneider|Volk und Welt Spektrum (Band 17)|SF|1969|Volk und Welt, Berlin|188|
Ready Player One: A Novel|Ernest Cline|||30/01/2018|Ballantine Books|608|9780525574347
Real-Time Systems: Design Principles for Distributed Embedded Applications (The Springer International Series in Engineering and Computer Science, 395)|Hermann Kopetz||Informatik|1997|Springer|352|9780792398943
Rechtfertigung|Udo Hahn|GTB Gütersloher Taschenbücher (Band 687)||2001|Gütersloher Verlagshaus|62|9783579006871
Regelungstechnik - Bafög-Ausgabe: Rechnerunterstützter Entwurf zeitkontinuierlicher und zeitdiskreter Regelkreise (Pearson Studium - Elektrotechnik)|Martin Horn, Nicolaos Dourdoumas|||2004|Pearson Studium|464|9783827372604
Rennsteiglauf|AK|||1981|Sportverlag Berlin|111|
Replay|Tristan Donovan||Computers|2010|Yellow Ant Media Limited|501|9780956507204
RESUME|Stefan Höltgen|||28/04/2016|Projekt|268|9783897333963
Rheingold. Roman|Stephan Grundy|||01/10/1998|Krueger W.|837|9783810508515
Rheinsberg / Der Zeitsparer / Fromme Gesänge ...|Kurt Tucholsky|||1983|Verlag Volk und Welt Berlin|532|
Richtig Jogging Dauerlaufen|Franz Wöllzenmüller|||1979|BLV Buchverlag|127|9783405120788
Richtig Mountainbiken|Urs Gerig, Thomas Frischknecht|||2001|BLV Verlagsgesellschaft mbH|125|9783405155391
Richtig Schwimmen|Josef/Michael Hahn Giehrl|||2000|BLV Verlagsgesellschaft mbH|127|9783405158644
Ringwelt|Larry Niven|||10/1997|Bastei Lübbe|332|9783404241682
Ritter dunklen Rufes|David Gemmell||Fantasy|1991|Goldmann Wilhelm GmbH|391|9783442423651
Robbi, Tobbi und das Fliewatüüt|Boy Lornsen|||2007|Weltbild|279|9783828960862
Robotermärchen|Stanislaw Lem|||1976|Eulenspiegel Verlag|175|
Ruf des Urwalds|Gary Larson|||09/1999|Goldmann Wilhelm GmbH|0|9783442069484
Rund um die Spielkarte: Streifzug durch das Altenburger Spielkartenmuseum|Peter Weise|||1986|Verlag Tribüne Berlin|223|3730300164
Russische Erzählungen|Fjodor Dostojewski, Leonid Andreev, Leo N. Tolstoi|Die Bibliothek von Babel||1989|Goldmann|197|9783442087198
Russland|Gerd Ruge||Germany|2008|C.H.Beck|207|9783406578502
Rügen-Landschaft. Aquarelle|Christoph Rosenow|||2007|Druckhof Gampe|50|
Saarland Impressionen|Dirk Bartels|||1989|Hermann G. Klein Verlag, Speyer|124|3921797292
Sagen des klassischen Altertums|Gustav Schwab|||1994|K. Müller Vlg., Erlangen|575|9783860704585
Sakrament des Todes|Andreas M. Sturm, Martina Arnold, Eva Lirot, Jan Flieger, Anne Mehlhorn, Romy Fölck, Regina Schleheck, Patricia Holland Moritz, Hughes Schlueter, Mandy Kämpf, Petra Tessendorf, Svenja Karsten, Frank Kreisler|||12/2014|fhl Verlag Leipzig|210|9783942829588
Salmler|Hans Frey|Zierfisch-Monographien (Band 1)|Aquaristik|1980|Neumann Verlag Leipzig Radebeul|118|3788803169
Salz der Erde|Pope Benedict XVI||Benedikt (Papst, XVI.) - Interview|1996|Deutsche Verlags-Anstalt|302|9783421050465
Sascha Anderson|Sascha Anderson|||2002|DUMONT Literatur und Kunst Verlag|303|3832159045
Sauna unbeschwert genießen|Ulrike Novotny|||2007|TRIAS|122|9783830434016
Sauron Defeated|J. R. R. Tolkien|The History of Middle-Earth (Band 9)|Fiction|04/03/2002|Harpercollins Pub Limited|482|9780261103054
Schach - Ernst und heiter|Rolf Voland|||1981|Verlag Tribüne Berlin|214|
Schach von A - Z: Vollständige Anleitung zum Schachspiel|Max Euwe, Kurt Richter|||1994|Joachim Beyer Verlag Hollfeld|196|3888051819
Schafe blicken auf. Science Fiction-Roman (Heyne Science Fiction und Fantasy (06))|John Brunner|||12/1996|Heyne|415|3-453-30526-4
Schiff-Zyklus: Der Jesus-Zwischenfall|FRANK HERBERT|||1981|Heyne, 1981|431|3453307372
Schildkröten: Anschaffung, Pflege, Ernährung, Krankheiten. Sonderteil: Schildkröten verstehen lernen (GU Haus & Garten Tier-Ratgeber)|Hartmut Wilke||||GRÄFE UND UNZER Verlag GmbH|72|3774258163
Schlacht um Stalingrad: Die Eroberung der Stadt - Oktober 1942|Will Fowler|||2006|tosa|192|9783902478627
Schmalspurbahnen um Thum|Stephan Häupel, Eberhard Schramm|Nebenbahndokumentation (Band 71)|Eisenbahn||Verlag Kenning, Nordhorn|192|9783933613394
Schnapsbrennen|Josef Pischl|||01/01/1996|Heyne||9783453117945
Schneckenmühle: Langsame Runde|Jochen Schmidt|||18/07/2013|C.H.Beck|220|9783406646980
Schneewittchen und die sieben Geißlein|Claudia Thoß|||2010|fhl Verlag Leipzig|196|9783942025218
Schriften zur Musik I. Von Bach bis Boulez. Sonderausgabe|Tim. Page, Glenn Gould|||01/02/1992|Piper Verlag GmbH|359|3492030084
Schriftsteller der DDR|Günter Albrecht, Kurt Böttcher, Herbert Greiner-Mai, Paul Günter Krohn|Meyers Taschenlexikon||1974|VEB Bibliographisches Institut Leipzig|656|
Schritt für Schritt zum Top-Modell|Wolfram Kawlath||Modellbau|1990|Falken-Verlag|96|4009803900018
Schwarze Weide|Horst Lange|Bibliothek des 20. Jahthunderts||1979|Claassen Verlag Düsseldorf|629|
Schwäbisches Dictionärle|Renate Herwig, Peter Herwig||||Herwig-Verlag Göppingen||
Schönste Geschichten : Das kleine Arschloch und die Ohrenbeichte.|Walter Moers|||1996|Eichborn Verlag||9783821829623
Science Fiction (Sammlung Metzler)|Hans J Schulz||||J.B. Metzler, Part of Springer Nature - Springer-Verlag GmbH|166|3476102262
Second Nature: Peter Peryer, Photographer, New Zealand|Gregory Burke, Peter Weiermair, Peter Peryer|||1995|Edition Stemmle,Switzerland|139|3905514567
Security Engineering|Ross J. Anderson||Computers, Kryptographie|14/04/2008|John Wiley & Sons|1088|9780470068526
Sed & Awk|Dale Dougherty, Arnold Robbins||Computers|1997|"""O'Reilly Media, Inc."""|407|9781565922259
Segelkriegsschiffe|Ulrich Israel, Jürgen Gebauer||Militaria|1982|Militärverlag der DDR|124|
Seichtgebiete: Warum wir hemmungslos verblöden|Jürgs, Michael|||2009|C. Bertelsmann Verlag|253|9783570100097
Sein und Wesen - Der unbekannte A.R. Penck|Gisbert Porstmann, Städtische Galerie Dresden, A.R. Penck|||28/04/2008|Prestel Verlag|260|9783791340630
Semmelweis - Retter der Mütter|Joachim Barckhausen, Alexander Stenbock-Fermor|||1951|Deutscher Filmverlag Berlin|157|
Sergio Leone|Michael Carlson|Pocket Essentials||2001|Oldcastle Books Ltd|96|9781903047415
Sex im Comic|Andreas C. Knigge|||01/01/1985|Ullstein|272|3548365183
Sexsells|Thomas Jendrosch||Sex in advertising|2000|Git Verlag|170|3928865293
Sexy Sons: Roman|Bernhard Kegel|||2001|Ammann|463|9783250104360
Shampoo Planet|Douglas Coupland|||01/01/1996|Goldmann|0|3442422736
Shekawati. Das Kind der Götter|Pierre-Yves Gabrion, Bertrand Antigny|||1998|Egmont Ehapa Verlag|136|9783770418398
Shining|Stephen King||Fiction|27/10/2011|Bastei Lübbe (Bastei Verlag)|624|9783404130085
Sieben fielen vom Himmel|Alexander Kröger|Kompaß-Bücherei (Band 202)||1976|Neues Leben, Berlin|349|
Skagerrak|Herrmann A.K. Jung|||1942|Philipp Reclam jun. Leipzig|70|
Skat nach den neuesten Regeln|Walter Kaps|||1944|Philipp Reclam jun. Leipzig|71|
Skatschule. Anerkanntes Lehrbuch des Deutschen Skatverbandes e. V|Hans D. Kahrs|||1989|Englisch Verlag GmbH|95|9783824103621
Skunk Works|Ben R. Rich, Leo Janos||Business & Economics, Militaria|1994|Little Brown & Company|370|9780316743303
Sniper One: The Blistering True Story of a British Battle Group Under Siege (English Edition)|Dan Mills||Militaria|15/05/2008|Penguin|384|9780141029016
Snow crash|Neal Stephenson|||1995||533|9783442236862
Sofies Welt|Jostein Gaarder|||1996|Hanser|613|9783446173477
Soldaten|Eberhard Binder, Helmut Selle||Militaria|1963|Deutscher Militärverlag|348|
Spaltprodukte|Jürgen Roth, Michael Rudolf||||Reclam, Leipzig||9783379016032
Speelkarten|Han Janssen||Spielkarten|1965|C.A.J. van Dishoek, Bussum|120|345832612X
Spejbl und Hurvinek|Miloš Kirschner, Pavel Grym|dialog||1975|Henschelverlag Kunst und Gesellschaft Berlin|213|
Spielkarten im Schloss- und Spielkartenmuseum Altenburg: Alternburgica 8. Kleiner Führer durch die ständigen Ausstellungen des Altenburger Spielkartenmuseums|Renate Reinhold, Elke Piehler, Reinhard Mende|Altenburgica (Band 8)||2000|Stadt Altenburg|72|398062353X
Spielregelbüchlein|VEB Altenburger Spielkartenfabrik (Hrsg.)|||1964||170|
Spielregelbüchlein|Altenburger Spielkartenfabrik (Hrsg.)|||1977||288|
Spur der Steine|Erik Neutsch|||1964|Mitteldeutscher Verlag Leipzig Halle|777|3354001046
Spurlos verschwunden|Annerose Kirchner||Eminent domain|2010|Ch. Links Verlag|204|9783861535690
Squash|Conny Hasselbach, Niels Härtel|||1993|Rowohlt Tb.|204|9783499170409
Stalingrad|Horst Zank||Militaria|01/07/2007|Mittler & Sohn|236|9783813208313
Stalingrad|Antony Beevor||Militaria|2002|Orbis|0|9783572013128
Stalingrad|Theodor Plievier||Militaria|2001|KiWi-Taschenbuch|456|9783462030549
Stanley Kubrick|Rolf Thissen||Motion picture producers and directors|1999|Heyne|288|9783453164956
Stanley Kubrick|Paul Duncan||Performing Arts|2003|Taschen|192|9783822815922
Starship Troopers|Robert Anson Heinlein||Fiction|1987|Penguin|263|0-441-78358-9
Statusmeldungen|Stefanie Sargnagel|||24/07/2018|Rowohlt Taschenbuch|304|9783499290138
Stauffenberg und der 20. Juli 1944|Kurt Finker||Militaria|1989|Union Verlag Berlin|368|
Stephen Hawking|Hubert Mania|||01/04/2004|Rowohlt Taschenbuch Verlag|160|9783499505737
Sternstunden Jungfrau für Liebe, Glück und Geld, Berufserfolg und Gesundheit.|Leo Cancer|||1982|Falken-Vlg., Niedernh.|62|3806806268
Sterntagebücher|Stanislaw Lem||||Volk und Welt, Berlin|156|
Stichwort CDU|Annalena Staudte- Lauber, Annalena Staudte- Lauber||||Heyne||9783453060418
Stichwort Katholische Kirche|Wilhelm Rees|||09/1995|Heyne|95|9783453056138
Strasse der Krähen|Iain Banks|||1996|Goldmann|473|9783442081394
Straßenbahn-Archiv DDR 3|Bauer Gerhard||Eisenbahn|1984|Ingrid Zeunert, Gifhorn|224|3924335036
Ständige Vertretung: Meine Jahre in Ostberlin|Hans Otto Bräutigam|||2009|Hoffmann Und Campe|480|9783455500998
Störfall : Nachrichten eines Tages.|Christa Wolf|||1987|Aufbau-Verlag Berlin und Weimar||3351012969
Superintelligenz|Nick Bostrom|||11/04/2016|Suhrkamp Verlag|480|9783518586846
Supernova: Roman|Charles Stross|||01/08/2005|Heyne|528|9783453520523
Sync|Steven Strogatz||Mathematics|29/04/2004|Penguin UK|352|9780141007632
Szenen einer Ehe|Loriot|Kleine Diogenes Taschenbücher (Band 70.120)||1997|Diogenes Verlag Zürich|109|9783257701203
Sächsische Überlandstraßenbahnen seit 1898|Helmut Konrad Mißbach||Eisenbahn|2004|transpress|160|9783613712430
Taschenführer Spielkarten und Kartenspiele|Franz Braun|||1966|Fackelträger-Verlag GmbH Hannover|228|
Technologie des Schiffsmodellbaus|Dieter Johansson|Modellsportbücherei (Band 1)|Modellbau|1976|transpress|96|
Tee für Wissensdurstige|Hellmut Grösser|||1993|Albrecht Golf Verlag|120|3870140038
Terraplane. Roman.|Jack Womack|||05/1993|Heyne Verlag|316|9783453049864
The Algorithmic Beauty of Plants|Przemyslaw Prusinkiewicz, Aristid Lindenmayer|The Virtual Laboratory||1990|Springer-Verlag Berlin and Heidelberg GmbH & Co. K|228|3540972978
The Art of Computer Systems Performance Analysis: Techniques for Experimental Design, Measurement, Simulation, and Modeling|Raj Jain||Informatik|1991|Wiley|685|9788126519057
The Art of Multiprocessor Programming|Maurice Herlihy, Nir Shavit||Informatik|2008|Morgan Kaufmann|508|9780123705914
The Art of Unix Programming|Eric S. Raymond||Informatik|2004|Addison-Wesley Professional|525|0131429019
The Art of War - Strategierätsel|Richard Wolfrik Galland||||Ullmann Medien GmbH|224|9783741523939
The Atlas of Middle-earth|Karen Wynn Fonstad||Middle Earth (Imaginary place)|1992|HarperCollins Publishers Ltd|210|9780261102774
The Beauty of Fractals|Heinz-Otto Peitgen, Peter H. Richter||Mathematics|07/1986|Springer Science & Business Media|199|3540158510
The Book of Lost Tales|John Ronald Reuel Tolkien|The History of Middle-Earth (Band 2)|Epic fantasy|1991|Harper Collins Publ. UK|385|9780261102149
The Book of Lost Tales|John Ronald Reuel Tolkien, Christopher Tolkien|The History of Middle-Earth (Band 1)|Fiction|2002|HarperCollins UK|304|9780261102224
The Codebreakers: The Comprehensive History of Secret Communication from Ancient Times to the Internet|David Kahn|||01/12/1996|Scribner Book Company|1200|9780684831305
The Collected Sam & Max|Steve Purcell, Lawrence Deneault||Art|1995|Marlowe|160|9781569248140
The Complete Guide to Middle-earth|Robert Foster||Fantasy fiction, English|1993|HarperCollins UK|441|9780261102521
The Complete Kubrick|David Hughes|||2000|Virgin Publishing Ltd|303|9780753504529
The Design and Implementation of the 4.4BSD Operating System|Keith Bostic, Marshall Kirk [Editor] McKusick, Michael J. [Editor] Karels, John S. [Editor]; Quaterman||Informatik|1996|Addison-Wesley|577|9780201549799
The Edge of Human|K.W. Jeter|||01/08/1996|Spectra|320|0-553-57570-8
The Ghost Brigades|John Scalzi||Fiction|05/2007|Macmillan|374|9780765354068
The Hamlyn illustrated book of Card Games|George F Hervey|||1973|Hamlyn|240|060031281X
The Hobbit or There And Back Again|John Ronald Reuel Tolkien|||1993|Harper Collins Publ. UK|389|9780261102217
The Hobbit: A Journey into Maturity (Twayne's Masterwork Studies)|William H. Green|||1994|Twayne Publishers|150|9780805788075
The Hunt for Red October|Tom Clancy||Fiction|1985|Berkley|469|0425083837
The Indisputable Existence of Santa Claus|Hannah Fry, Dr Thomas Oléron Evans||Mathematik|16/11/2017|Black Swan|160|9781784162740
The Individuated Hobbit: Jung, Tolkien, and the Archetypes of Middle-Earth|Timothy R. O'Neill|||1979|Houghton Mifflin Harcourt|200|039528208X
The Languages of Tolkien's Middle-earth|Ruth S. Noel, J. R. R. Tolkien||Fiction|1980|Houghton Mifflin Harcourt|207|9780395291306
The Last Colony|John Scalzi||Fiction|29/07/2008|Macmillan|336|9780765356185
The Lays of Beleriand|John Ronald Reuel Tolkien, Christopher Tolkien|The History of Middle-Earth (Band 3)|Poetry|1987|Harpercollins Pub Limited|393|9780261102262
The Letters of J. R. R. Tolkien (English Edition)|Humphrey Carpenter, Christopher Tolkien|||1995|HarperCollins|512|9780261102651
The Linux Programming Interface|Michael Kerrisk||Computers|01/10/2010|No Starch Press|1552|9781593272203
The Lord of the Rings|John R. R. Tolkien|||1995|Harper Collins UK|1137|9780261103252
The Lost Road|John Ronald Reuel Tolkien|The History of Middle-Earth (Band 5)|Fiction|2002|Harpercollins Pub Limited|464|9780261102255
The Mammoth Book of Secret Codes and Cryptograms|Elonka Dunin||Games, Kryptographie|2006|Running PressBook Pub|599|9780786717262
The Meaning of Liff|Douglas Adams, John Lloyd||Humor|10/10/2013|Pan Macmillan|224|9780752227597
The Origins of Tolkien's Middle-earth For Dummies|Greg Harvey|||26/09/2003|For Dummies|359|9780764541865
The Peoples of Middle-earth|John Ronald Reuel Tolkien, Christopher Tolkien|The History of Middle-Earth (Band 12)|Fiction|1997|Harpercollins Pub Limited|482|9780261103481
The Player of Games|Iain M. Banks|||1990|Harper Paperbacks|399|099455004503
The Practice of Programming|Brian W. Kernighan, Rob Pike||Computers|1999|Addison-Wesley Professional|267|9780201615869
The Return of the Shadow|John Ronald Reuel Tolkien|The History of Middle-Earth (Band 6)|Creative writing|1994|HarperCollins Publishers|497|9780261102248
The Revenge of the Baby-Sat|Bill Watterson||Humor|1991|Andrews McMeel Publishing|127|9780836218664
The Rust Programming Language (Covers Rust 2018)|Steve Klabnik, Carol Nichols||Computers|06/08/2019|No Starch Press|560|9781718500440
The Science of Fractal Images|Heinz-Otto Peitgen, Dietmar Saupe|||1988|Springer|312|0387966080
The Shaping of Middle-Earth|John Ronald Reuel Tolkien, Christopher Tolkien|The History of Middle-Earth (Band 4)|Fiction|2002|Harpercollins Pub Limited|380|9780261102187
The stand|Stephen King||Biological warfare|1992|Bastei Lübbe|1196|9783404134113
The TeXbook|Donald E. Knuth||Informatik|1986|Addison-Wesley Professional|483|9780201134483
The Theory of Poker|David Sklansky||Games & Activities|1999|Two Plus Two Publishing LLC|301|9781880685006
The Tolkien Reader|J. R. R. Tolkien||Fiction|11/1986|Del Rey|251|0345345061
The Treason of Isengard|John Ronald Reuel Tolkien, Christopher Tolkien|The History of Middle-Earth (Band 7)|English fiction|1993|HarperCollins Publishers|504|9780261102200
The Ultimate Hitchhiker's Guide to the Galaxy: Five Novels in One Outrageous Volume|Douglas Adams|||30/04/2002|Del Rey|832|9780345453747
The War of the Jewels|Christopher Tolkien|The History of Middle-Earth (Band 11)||1994|Harper Collins Publ. UK|496|9780261103245
The War of the Ring|John Ronald Reuel Tolkien|The History of Middle-Earth (Band 8)|English fiction|1992|HarperCollins Publishers|476|9780261102231
The War of the Worlds|H.G. Wells|||1898|Leipzig: Bernhard Tauchnitz|288|
The Wasp Factory: The stunning and controversial literary debut novel (English Edition)|Iain Banks|||04/09/2008|Abacus|194|9780349101774
The ​mythical man-month|Frederick P. Brooks, Jr.||Informatik|1995|Addison Wesley|322|9780201835953
Theoretische Informatik - kurzgefaßt|Uwe Schöning||Informatik|1999|Spektrum Akademischer Verlag|200|9783827402509
Theoretische Informatik: Eine anwendungsorientierte Einführung|Norbert Blum||Informatik|1998|Oldenbourg Wissenschaftsverlag|356|9783486242799
Thomas von Aquin|Josef Pieper|||1957|Pieper|235|
Tierwelt von uns erlebt|Manfred Bürger|||1979|Verlag Neues Leben Berlin|328|
Timeline|Michael Crichton|||01/09/2001|Blessing||3896671847
Tina Modotti: Wahrheit und Legende einer umstrittenen Frau. Biografie|Christiane Barckhausen|||1989|Neues Leben|440|3355006211
Tinissima - Der Lebensroman der Tina Modotti|Elena Poniatowska, Christiane Barckhausen-Canale||||Suhrkamp Verlag|464|9783518408162
Tolkien|Humphrey Carpenter||Authors, English|1978|Ballentine Books New York|327|0345272560
